country,cpi,rank,gdppercap
"Afghanistan",16,174,368.7546
"Albania",35,110,6492.872
"Algeria",33,117,3690.628
"Angola",29,136,1953.534
"Argentina",38,96,10636.12
"Armenia",49,58,4966.514
"Australia",73,18,60443.11
"Austria",74,13,53637.71
"Azerbaijan",30,128,5387.998
"Bahamas",64,30,27478.39
"Bahrain",42,78,26562.97
"Bangladesh",26,147,2457.925
"Barbados",65,29,17225.46
"Belarus",41,82,7302.258
"Belgium",73,18,51247.02
"Benin",42,78,1319.155
"Bhutan",68,25,3266.365
"Bolivia",30,128,3345.197
"Bosnia and Herzegovina",35,110,7143.311
"Botswana",55,45,6805.221
"Brazil",38,96,7507.161
"Brunei Darussalam",,,31449.08
"Bulgaria",42,78,12221.5
"Burkina Faso",42,78,893.0771
"Burundi",19,169,221.4777
"Cabo Verde",58,39,3293.233
"Cambodia",23,157,1625.235
"Cameroon",27,144,1666.933
"Canada",74,13,51987.94
"Central African Republic",24,154,461.1375
"Chad",20,164,685.6903
"Chile",67,27,16265.1
"China",45,66,12556.33
"Colombia",39,87,6104.137
"Comoros",20,164,1577.471
"Costa Rica",58,39,12472.44
"Croatia",47,63,17685.32
"Cuba",46,64,
"Cyprus",53,52,31551.82
"Czech Republic",54,49,26821.24
"Democratic Republic of the Congo",19,169,577.2092
"Denmark",88,1,68007.76
"Djibouti",30,128,3150.437
"Dominica",55,45,7653.172
"Dominican Republic",30,128,8476.752
"Ecuador",36,105,5965.133
"Egypt",33,117,3698.835
"El Salvador",34,115,4551.185
"Equatorial Guinea",17,172,7506.667
"Eritrea",22,161,
"Estonia",74,13,27943.7
"Eswatini",32,122,3978.404
"Ethiopia",39,87,925.0775
"Fiji",55,45,4646.613
"Finland",88,1,53654.75
"France",71,22,43658.98
"Gabon",31,124,8635.326
"Gambia",37,102,772.1524
"Georgia",55,45,5023.274
"Germany",80,10,51203.55
"Ghana",43,73,2363.299
"Greece",49,58,20192.6
"Grenada",53,52,9010.572
"Guatemala",25,150,5025.542
"Guinea",25,150,1189.176
"Guinea Bissau",21,162,795.1186
"Guyana",39,87,9998.544
"Haiti",20,164,1829.593
"Honduras",23,157,2771.718
"Hong Kong",76,12,49800.54
"Hungary",43,73,18728.12
"Iceland",74,13,68727.64
"India",40,85,2256.59
"Indonesia",38,96,4332.709
"Iran",25,150,4091.209
"Iraq",23,157,4775.377
"Ireland",74,13,100172.1
"Israel",59,36,52170.71
"Italy",56,42,35657.5
"Ivory Coast",36,105,2549.041
"Jamaica",44,70,5183.582
"Japan",73,18,39312.66
"Jordan",49,58,4103.259
"Kazakhstan",37,102,10373.79
"Kenya",30,128,2081.8
"Kosovo",39,87,5269.784
"Kuwait",43,73,
"Kyrgyzstan",27,144,1276.7
"Laos",30,128,2535.623
"Latvia",59,36,21148.16
"Lebanon",24,154,4136.146
"Lesotho",38,96,1094.098
"Liberia",29,136,675.6632
"Libya",17,172,6357.196
"Lithuania",61,34,23723.34
"Luxembourg",81,9,133590.2
"Madagascar",26,147,500.511
"Malawi",35,110,634.8356
"Malaysia",48,62,11109.26
"Maldives",40,85,10366.29
"Mali",29,136,873.7949
"Malta",54,49,33486.67
"Mauritania",28,140,2166.047
"Mauritius",54,49,9106.237
"Mexico",31,124,10045.68
"Moldova",36,105,5230.662
"Mongolia",35,110,4566.14
"Montenegro",46,64,9465.704
"Morocco",39,87,3795.38
"Mozambique",26,147,491.8391
"Myanmar",28,140,1209.927
"Namibia",49,58,4865.558
"Nepal",33,117,1208.219
"Netherlands",82,8,57767.88
"New Zealand",88,1,48781.03
"Nicaragua",20,164,2045.535
"Niger",31,124,590.6295
"Nigeria",24,154,2065.749
"North Macedonia",39,87,6694.641
"Norway",85,4,89154.27
"Oman",52,56,19509.47
"Pakistan",28,140,1505.01
"Panama",36,105,14617.6
"Papua New Guinea",31,124,2672.946
"Paraguay",30,128,5891.5
"Peru",36,105,6621.574
"Philippines",33,117,3460.531
"Poland",56,42,17999.91
"Portugal",62,32,24567.51
"Qatar",63,31,66838.36
"Republic of Congo",21,162,2290.383
"Romania",45,66,14858.23
"Russia",29,136,12194.78
"Rwanda",53,52,822.348
"Sao Tome and Principe",45,66,2360.544
"Saudi Arabia",53,52,23185.87
"Senegal",43,73,1636.893
"Serbia",38,96,9230.179
"Seychelles",70,23,14653.31
"Sierra Leone",34,115,480.0392
"Singapore",85,4,72794
"Slovakia",52,56,21391.93
"Slovenia",57,41,29291.4
"Solomon Islands",43,73,2304.844
"Somalia",13,178,446.9816
"South Africa",44,70,7055.045
"South Sudan",11,180,
"Spain",61,34,30103.51
"Sri Lanka",37,102,4013.688
"St. Lucia",56,42,9414.227
"St. Vincent and the Grenadines",59,36,8666.387
"Sudan",20,164,751.8214
"Suriname",39,87,4869.134
"Sweden",85,4,61028.74
"Switzerland",84,7,91991.6
"Syria",13,178,
"Tajikistan",25,150,897.0475
"Tanzania",39,87,1099.288
"Thailand",35,110,7066.19
"Timor-Leste",41,82,2741.394
"Togo",30,128,973.2061
"Trinidad and Tobago",41,82,16032.5
"Tunisia",44,70,3807.139
"Turkey",38,96,9661.236
"Turkmenistan",19,169,
"Uganda",27,144,883.892
"Ukraine",32,122,4835.572
"United Arab Emirates",69,24,44315.55
"United Kingdom",78,11,46510.28
"United States of America",67,27,70248.63
"Uruguay",73,18,17313.19
"Uzbekistan",28,140,1983.065
"Vanuatu",45,66,2996.621
"Venezuela",14,177,
"Vietnam",39,87,3756.489
"Yemen",16,174,
"Zambia",33,117,1137.344
"Zimbabwe",23,157,1773.92
